Current_Date,Location,Next_Date,HCHO_reading
2019-01-01,"Bibile, Monaragala",2019-01-02,1.919914652467399e-05
2019-01-02,"Bibile, Monaragala",2019-01-03,1.919914652467399e-05
2019-01-03,"Bibile, Monaragala",2019-01-04,2.811447935930284e-05
2019-01-04,"Bibile, Monaragala",2019-01-05,3.747998184385943e-05
2019-01-05,"Bibile, Monaragala",2019-01-06,-1.7982608793453114e-05
2019-01-06,"Bibile, Monaragala",2019-01-07,0.0001457836896179
2019-01-07,"Bibile, Monaragala",2019-01-08,2.8285908025465342e-05
2019-01-08,"Bibile, Monaragala",2019-01-09,8.703479882168266e-05
2019-01-09,"Bibile, Monaragala",2019-01-10,0.000142085016705
2019-01-10,"Bibile, Monaragala",2019-01-11,0.000142085016705
2019-01-11,"Bibile, Monaragala",2019-01-12,2.014587947072581e-05
2019-01-12,"Bibile, Monaragala",2019-01-13,0.000158278766321
2019-01-13,"Bibile, Monaragala",2019-01-14,3.961305713259166e-05
2019-01-14,"Bibile, Monaragala",2019-01-15,9.894591172679584e-05
2019-01-15,"Bibile, Monaragala",2019-01-16,9.952823849642218e-05
2019-01-16,"Bibile, Monaragala",2019-01-17,7.484570960514249e-05
2019-01-17,"Bibile, Monaragala",2019-01-18,7.736112226328797e-05
2019-01-18,"Bibile, Monaragala",2019-01-19,7.610341593421524e-05
2019-01-19,"Bibile, Monaragala",2019-01-20,3.9881410104076654e-05
2019-01-20,"Bibile, Monaragala",2019-01-21,0.0001891620203853
2019-01-21,"Bibile, Monaragala",2019-01-22,0.0001159969926423
2019-01-22,"Bibile, Monaragala",2019-01-23,0.0001413523623709
2019-01-23,"Bibile, Monaragala",2019-01-24,7.165379525100222e-05
2019-01-24,"Bibile, Monaragala",2019-01-25,0.0001065030788109511
2019-01-25,"Bibile, Monaragala",2019-01-26,-2.8553898678860067e-05
2019-01-26,"Bibile, Monaragala",2019-01-27,5.552184003593855e-05
2019-01-27,"Bibile, Monaragala",2019-01-28,0.000180567368996
2019-01-28,"Bibile, Monaragala",2019-01-29,9.113160086427456e-05
2019-01-29,"Bibile, Monaragala",2019-01-30,7.241739856355372e-05
2019-01-30,"Bibile, Monaragala",2019-01-31,8.177449971391414e-05
2019-01-31,"Bibile, Monaragala",2019-02-01,4.098144742473462e-05
2019-02-01,"Bibile, Monaragala",2019-02-02,5.186428352058307e-05
2019-02-02,"Bibile, Monaragala",2019-02-03,4.642286547265884e-05
2019-02-03,"Bibile, Monaragala",2019-02-04,5.186428352058307e-05
2019-02-04,"Bibile, Monaragala",2019-02-05,4.914357449662097e-05
2019-02-05,"Bibile, Monaragala",2019-02-06,5.186428352058307e-05
2019-02-06,"Bibile, Monaragala",2019-02-07,1.051353380619686e-05
2019-02-07,"Bibile, Monaragala",2019-02-08,4.076109671524861e-05
2019-02-08,"Bibile, Monaragala",2019-02-09,7.59353421234044e-05
2019-02-09,"Bibile, Monaragala",2019-02-10,3.240085682659074e-06
2019-02-10,"Bibile, Monaragala",2019-02-11,7.34858268449358e-05
2019-02-11,"Bibile, Monaragala",2019-02-12,1.0584419214865193e-05
2019-02-12,"Bibile, Monaragala",2019-02-13,6.919795120446755e-05
2019-02-13,"Bibile, Monaragala",2019-02-14,3.9891185209666364e-05
2019-02-14,"Bibile, Monaragala",2019-02-15,6.919795120446755e-05
2019-02-15,"Bibile, Monaragala",2019-02-16,0.0001623480638954
2019-02-16,"Bibile, Monaragala",2019-02-17,2.6644206895973665e-05
2019-02-17,"Bibile, Monaragala",2019-02-18,0.0001362413198283
2019-02-18,"Bibile, Monaragala",2019-02-19,5.895095797941796e-05
2019-02-19,"Bibile, Monaragala",2019-02-20,7.990708924877695e-05
2019-02-20,"Bibile, Monaragala",2019-02-21,8.647263683420719e-05
2019-02-21,"Bibile, Monaragala",2019-02-22,6.580490440211678e-05
2019-02-22,"Bibile, Monaragala",2019-02-23,0.0001173317679715
2019-02-23,"Bibile, Monaragala",2019-02-24,0.0001372664223727
2019-02-24,"Bibile, Monaragala",2019-02-25,0.0001183587731956
2019-02-25,"Bibile, Monaragala",2019-02-26,5.1203144804752564e-05
